SNP1,SNP2,SNP3,CoC
solcap_snp_c2_23780,solcap_snp_c2_23781,solcap_snp_c2_23803,0.592517121
solcap_snp_c2_23803,solcap_snp_c2_23804,solcap_snp_c2_23805,0.59134921
solcap_snp_c2_23805,solcap_snp_c1_7632,solcap_snp_c2_23643,10
solcap_snp_c2_23643,solcap_snp_c2_23669,solcap_snp_c2_23678,1.412005914
solcap_snp_c2_23678,solcap_snp_c2_23717,solcap_snp_c2_23727,0.677646241
solcap_snp_c2_23727,solcap_snp_c2_23728,solcap_snp_c1_7621,0
solcap_snp_c1_7621,solcap_snp_c1_7622,solcap_snp_c1_7624,0.53880555
solcap_snp_c1_7624,solcap_snp_c2_23828,solcap_snp_c2_23829,1.261418231
solcap_snp_c2_23829,solcap_snp_c2_23831,solcap_snp_c2_23832,10
solcap_snp_c2_23832,solcap_snp_c2_23834,solcap_snp_c2_23836,0.602644578
solcap_snp_c2_23836,solcap_snp_c2_23841,solcap_snp_c2_23842,4.681656566
solcap_snp_c2_23842,solcap_snp_c2_23843,solcap_snp_c2_23846,0.475866694
solcap_snp_c2_23846,solcap_snp_c1_15684,solcap_snp_c2_40379,0.542984211
solcap_snp_c2_40379,solcap_snp_c2_33509,solcap_snp_c2_33511,0.60768638
solcap_snp_c2_33511,solcap_snp_c2_33512,solcap_snp_c2_33513,0.729818317
solcap_snp_c2_33513,solcap_snp_c2_33514,solcap_snp_c2_33517,1.331681351
solcap_snp_c2_33517,solcap_snp_c2_33518,solcap_snp_c2_33520,0.035980151
solcap_snp_c2_33520,solcap_snp_c2_33521,solcap_snp_c2_33532,0.602646387
solcap_snp_c2_33532,solcap_snp_c1_10042,solcap_snp_c2_33536,0.665128945
solcap_snp_c2_33536,solcap_snp_c2_33545,solcap_snp_c2_33563,0.677387018
solcap_snp_c2_33563,solcap_snp_c2_52069,solcap_snp_c2_11605,1.460644204
solcap_snp_c2_11605,solcap_snp_c2_11604,solcap_snp_c2_11766,0.749977603
solcap_snp_c2_11766,solcap_snp_c2_11747,solcap_snp_c2_11739,0
solcap_snp_c2_11739,solcap_snp_c2_11712,solcap_snp_c2_11707,0.325863773
solcap_snp_c2_11707,solcap_snp_c2_11696,solcap_snp_c2_11695,0.732933556
solcap_snp_c2_11695,solcap_snp_c2_11685,solcap_snp_c1_3767,10
solcap_snp_c1_3767,solcap_snp_c2_11925,solcap_snp_c1_3793,0.590452562
solcap_snp_c1_3793,solcap_snp_c2_11923,solcap_snp_c2_22986,0.702117423
solcap_snp_c2_22986,solcap_snp_c2_22959,solcap_snp_c1_7372,0
solcap_snp_c1_7372,solcap_snp_c2_23055,solcap_snp_c2_23056,0.618095434
solcap_snp_c2_23056,solcap_snp_c2_50312,solcap_snp_c2_50314,1.004592869
solcap_snp_c2_50314,solcap_snp_c2_50318,solcap_snp_c2_50327,0.414737057
solcap_snp_c2_50327,solcap_snp_c2_50290,solcap_snp_c2_50311,0.131147561
solcap_snp_c2_50311,solcap_snp_c2_50301,solcap_snp_c2_50302,0.662431515
solcap_snp_c2_50302,solcap_snp_c2_50298,solcap_snp_c2_51464,1.490327341
solcap_snp_c2_51464,solcap_snp_c2_51478,solcap_snp_c2_51473,0.932341522
solcap_snp_c2_51473,solcap_snp_c2_51470,solcap_snp_c1_14836,0.674028281
solcap_snp_c1_14836,solcap_snp_c2_50429,solcap_snp_c2_50421,0.751369945
solcap_snp_c2_50421,solcap_snp_c2_47644,solcap_snp_c2_47646,0.764412444
solcap_snp_c2_47646,solcap_snp_c2_47598,solcap_snp_c2_47597,0.635882696
solcap_snp_c2_47597,solcap_snp_c2_52436,solcap_snp_c2_47284,0.60934077
solcap_snp_c2_47284,solcap_snp_c2_47252,solcap_snp_c2_38221,0.565877115
solcap_snp_c2_38221,solcap_snp_c2_38197,solcap_snp_c2_38193,0.792672699
solcap_snp_c2_38193,solcap_snp_c2_38171,solcap_snp_c2_38163,0.703220843
solcap_snp_c2_38163,solcap_snp_c2_38229,solcap_snp_c2_45539,0
solcap_snp_c2_45539,solcap_snp_c2_45522,solcap_snp_c2_45517,0.752170728
solcap_snp_c2_45517,solcap_snp_c2_37697,solcap_snp_c2_37692,0.667320283
solcap_snp_c2_37692,solcap_snp_c1_11267,solcap_snp_c2_37066,0.603771637
solcap_snp_c2_37066,solcap_snp_c1_11078,solcap_snp_c2_37031,0.035957389
solcap_snp_c2_37031,solcap_snp_c1_15292,solcap_snp_c2_43523,0.698808265
solcap_snp_c2_43523,solcap_snp_c2_43519,solcap_snp_c2_43516,1.1230457
solcap_snp_c2_43516,solcap_snp_c1_14645,solcap_snp_c2_32877,10
solcap_snp_c2_32877,solcap_snp_c2_32854,solcap_snp_c2_51899,10
solcap_snp_c2_51899,solcap_snp_c2_43663,solcap_snp_c2_24329,0.600687497
solcap_snp_c2_24329,solcap_snp_c1_15864,solcap_snp_c2_38490,0.724605547
solcap_snp_c2_38490,solcap_snp_c2_56464,solcap_snp_c2_54598,0.687281728
solcap_snp_c2_54598,solcap_snp_c2_53298,solcap_snp_c2_53307,0.722656815
solcap_snp_c2_53307,solcap_snp_c2_38738,solcap_snp_c2_38737,0.93370148
solcap_snp_c2_38737,solcap_snp_c2_44034,solcap_snp_c1_12966,0.600489162
solcap_snp_c1_12966,solcap_snp_c2_54725,solcap_snp_c2_37554,0.825817219
solcap_snp_c2_37554,solcap_snp_c2_37550,solcap_snp_c2_53962,0
solcap_snp_c2_53962,solcap_snp_c2_54742,solcap_snp_c2_54741,0.7067101
solcap_snp_c2_54741,solcap_snp_c2_49286,solcap_snp_c2_49278,0.668715941
solcap_snp_c2_49278,solcap_snp_c2_48317,solcap_snp_c2_44073,0.601331076
solcap_snp_c2_44073,solcap_snp_c1_12835,solcap_snp_c2_43566,0.730136294
solcap_snp_c2_43566,solcap_snp_c2_43568,solcap_snp_c1_5058,0.659478561
solcap_snp_c1_5058,solcap_snp_c2_15676,solcap_snp_c2_15722,0.764558267
solcap_snp_c2_15722,solcap_snp_c2_49666,solcap_snp_c2_52058,1.515958776
solcap_snp_c2_52058,solcap_snp_c2_52054,solcap_snp_c2_52053,0.507298267
solcap_snp_c2_52053,solcap_snp_c1_15536,solcap_snp_c1_15690,0.695755444
solcap_snp_c1_15690,solcap_snp_c1_12912,solcap_snp_c2_56304,0.772708386
solcap_snp_c2_56304,solcap_snp_c2_49587,solcap_snp_c1_4464,0
solcap_snp_c1_4464,solcap_snp_c1_4455,solcap_snp_c2_13865,0.687720906
solcap_snp_c2_13865,solcap_snp_c2_38252,solcap_snp_c2_49385,0.632709516
solcap_snp_c2_49385,solcap_snp_c2_52870,solcap_snp_c2_38365,0.760661034
solcap_snp_c2_38365,solcap_snp_c2_38364,solcap_snp_c2_50226,10
solcap_snp_c2_50226,solcap_snp_c2_48422,solcap_snp_c2_47966,1.010833942
solcap_snp_c2_47966,solcap_snp_c1_14404,solcap_snp_c1_14402,0.887131082
solcap_snp_c1_14402,solcap_snp_c2_57241,solcap_snp_c2_57242,0.60305091
solcap_snp_c2_57242,solcap_snp_c2_57245,solcap_snp_c2_52397,0.685805704
solcap_snp_c2_52397,solcap_snp_c2_40088,solcap_snp_c2_40089,0.798564754
solcap_snp_c2_40089,solcap_snp_c1_11868,solcap_snp_c2_40092,0.69057459
solcap_snp_c2_40092,solcap_snp_c2_47405,solcap_snp_c2_5006,0.681464281
solcap_snp_c2_5006,solcap_snp_c1_1802,solcap_snp_c2_5217,0.669171178
solcap_snp_c2_5217,solcap_snp_c2_5216,solcap_snp_c2_5215,0.684094928
solcap_snp_c2_5215,solcap_snp_c2_5214,solcap_snp_c1_1881,10
solcap_snp_c1_1881,solcap_snp_c2_5156,solcap_snp_c1_1873,0.593120058
solcap_snp_c1_1873,solcap_snp_c1_16071,solcap_snp_c1_15965,2.407018142
solcap_snp_c1_15965,solcap_snp_c2_44375,solcap_snp_c1_13068,0.667445413
solcap_snp_c1_13068,solcap_snp_c2_40803,solcap_snp_c2_40776,0.355465507
